date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:18	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Nov%202020%2015:47:18%20GMT	https://bonevn.net/robots.txt		(from )
15:47:19	26957/26957	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:47:18%20GMT	https://bonevn.net/	D:/www/kuluc/bonevn.net/index.html	(from )
15:47:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Nov%202020%2015:47:30%20GMT	https://imgur.com/Y4gA0aM.png	D:/www/kuluc/imgur.com/Y4gA0aM.0.delayed	(from https://bonevn.net/)
15:47:30	364430/364430	---M--	200	added ('OK')	image/png	etag:%22e2f11e614465ce1b5b73ad6b87570898%22	https://i.imgur.com/Y4gA0aM.png	D:/www/kuluc/i.imgur.com/Y4gA0aM.png	(from https://bonevn.net/)
15:47:32	40808/40808	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2014%20Mar%202020%2009:00:48%20GMT	https://bonevn.net/assets/js/sweetalert.min.js	D:/www/kuluc/bonevn.net/assets/js/sweetalert.min.js	(from https://bonevn.net/)
15:47:32	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	D:/www/kuluc/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://bonevn.net/)
15:47:32	27776/27776	---M--	200	added ('OK')	image/png	etag:%22d78a745a4c8af660ce35cfd0c575b6e3%22	https://i.imgur.com/k61REq0.png	D:/www/kuluc/i.imgur.com/k61REq0.png	(from https://bonevn.net/)
15:47:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Nov%202020%2015:47:33%20GMT	https://imgur.com/WuYzWPj.png	D:/www/kuluc/imgur.com/WuYzWPj.7.delayed	(from https://bonevn.net/)
15:47:33	17645/17645	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:47:33%20GMT	https://bonevn.net/vps/vps-trial/	D:/www/kuluc/bonevn.net/vps/vps-trial/index.html	(from https://bonevn.net/)
15:47:33	571030/571030	---M--	200	added ('OK')	image/png	etag:%22d46256938f2633eea3ec7173f13efacf%22	https://i.imgur.com/WuYzWPj.png	D:/www/kuluc/i.imgur.com/WuYzWPj.png	(from https://bonevn.net/)
15:47:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Nov%202020%2015:47:33%20GMT	https://imgur.com/fiNzyHu.png	D:/www/kuluc/imgur.com/fiNzyHu.9.delayed	(from https://bonevn.net/)
15:47:33	7185/7185	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:47:33%20GMT	https://bonevn.net/history-buy/	D:/www/kuluc/bonevn.net/history-buy/index.html	(from https://bonevn.net/)
15:47:35	200639/200639	---M--	200	added ('OK')	image/png	etag:%225683508193e2deff77eab74f8bdda920%22	https://i.imgur.com/fiNzyHu.png	D:/www/kuluc/i.imgur.com/fiNzyHu.png	(from https://bonevn.net/)
15:47:35	7185/7185	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:47:34%20GMT	https://bonevn.net/nap-tien/	D:/www/kuluc/bonevn.net/nap-tien/index.html	(from https://bonevn.net/)
15:47:35	13347/13347	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:47:34%20GMT	https://bonevn.net/dang-nhap/	D:/www/kuluc/bonevn.net/dang-nhap/index.html	(from https://bonevn.net/)
15:47:35	15269/15269	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:47:34%20GMT	https://bonevn.net/blog/	D:/www/kuluc/bonevn.net/blog/index.html	(from https://bonevn.net/)
15:47:35	12754/12754	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:47:35%20GMT	https://bonevn.net/blog/thong-tin-chi-tiet-ve-cac-tai-khoan-dang-ban-tren-bone-cloud	D:/www/kuluc/bonevn.net/blog/thong-tin-chi-tiet-ve-cac-tai-khoan-dang-ban-tren-bone-cloud.html	(from https://bonevn.net/)
15:47:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Nov%202020%2015:47:36%20GMT	https://imgur.com/376pRzX.png	D:/www/kuluc/imgur.com/376pRzX.c.delayed	(from https://bonevn.net/)
15:47:36	26637/26637	---M--	200	added ('OK')	image/png	etag:%22e3cff529809600e026508d77a495c028%22	https://i.imgur.com/376pRzX.png	D:/www/kuluc/i.imgur.com/376pRzX.png	(from https://bonevn.net/)
15:47:36	14493/14493	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:47:36%20GMT	https://bonevn.net/dang-ky/	D:/www/kuluc/bonevn.net/dang-ky/index.html	(from https://bonevn.net/)
15:47:37	20065/20065	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:47:36%20GMT	https://bonevn.net/order/16	D:/www/kuluc/bonevn.net/order/16.html	(from https://bonevn.net/)
15:47:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Nov%202020%2015:47:37%20GMT	https://imgur.com/XHmf4H2.png	D:/www/kuluc/imgur.com/XHmf4H2.f.delayed	(from https://bonevn.net/)
15:47:37	86833/86833	---M--	200	added ('OK')	image/png	etag:%220232b0c95ccaa1b9f311b07a66e67524%22	https://i.imgur.com/XHmf4H2.png	D:/www/kuluc/i.imgur.com/XHmf4H2.png	(from https://bonevn.net/)
15:47:37	19992/19992	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:47:37%20GMT	https://bonevn.net/order/14	D:/www/kuluc/bonevn.net/order/14.html	(from https://bonevn.net/)
15:47:38	20029/20029	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:47:38%20GMT	https://bonevn.net/order/13	D:/www/kuluc/bonevn.net/order/13.html	(from https://bonevn.net/)
15:47:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Nov%202020%2015:47:38%20GMT	https://imgur.com/3pVp4s0.png	D:/www/kuluc/imgur.com/3pVp4s0.13.delayed	(from https://bonevn.net/)
15:47:38	305446/305446	---M--	200	added ('OK')	image/png	etag:%22b4d4ce06de1d0eca63aa9415a70b03c3%22	https://i.imgur.com/3pVp4s0.png	D:/www/kuluc/i.imgur.com/3pVp4s0.png	(from https://bonevn.net/)
15:47:50	20039/20039	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Nov%202020%2015:47:38%20GMT	https://bonevn.net/order/8	D:/www/kuluc/bonevn.net/order/8.html	(from https://bonevn.net/)
